is_infectious,name,type,properties
true,Influenza,Viral,"{'affected_age_groups': ['Children', 'Adults', 'Elderly'], 'complications': ['Pneumonia', 'Bronchitis', 'Dehydration'], 'curative_drugs': [1, 2, 3], 'risk_factors': ['Smoking', 'Obesity', 'Weakened immune system'], 'symptoms': [{'description': 'Persistent cough', 'duration': '1 week', 'name': 'Cough', 'severity': 'Moderate', 'type': 'Respiratory'}, {'description': 'High body temperature', 'duration': '5 days', 'name': 'Fever', 'severity': 'High', 'type': 'General'}]}"
true,Bacterial Meningitis,Bacterial,"{'affected_age_groups': ['Children', 'Adults', 'Elderly'], 'complications': ['Sepsis', 'Hearing loss', 'Brain damage'], 'curative_drugs': [4, 5, 6], 'risk_factors': ['Crowded living conditions', 'Age (very young or old)', 'Weakened immune system'], 'symptoms': [{'description': 'Severe headache', 'duration': '3 days', 'name': 'Headache', 'severity': 'Severe', 'type': 'Neurological'}, {'description': 'Stiff neck', 'duration': '2 days', 'name': 'Stiff Neck', 'severity': 'High', 'type': 'Musculoskeletal'}]}"
false,Diabetes Mellitus,Metabolic,"{'affected_age_groups': ['Adults', 'Elderly'], 'complications': ['Kidney failure', 'Nerve damage', 'Vision problems'], 'curative_drugs': [7, 8, 9], 'risk_factors': ['Obesity', 'Sedentary lifestyle', 'Genetic factors'], 'symptoms': [{'description': 'Increased thirst', 'duration': 'Chronic', 'name': 'Increased Thirst', 'severity': 'Moderate', 'type': 'General'}, {'description': 'Fatigue', 'duration': 'Chronic', 'name': 'Fatigue', 'severity': 'Mild', 'type': 'General'}]}"
true,Tuberculosis,Bacterial,"{'affected_age_groups': ['Adults', 'Elderly'], 'complications': ['Pneumonia', 'Lung scarring', 'Miliary TB'], 'curative_drugs': [10, 11, 12], 'risk_factors': ['Smoking', 'HIV infection', 'Malnutrition'], 'symptoms': [{'description': 'Persistent cough', 'duration': '8 weeks', 'name': 'Persistent Cough', 'severity': 'Moderate', 'type': 'Respiratory'}, {'description': 'Night sweats', 'duration': '6 weeks', 'name': 'Night Sweats', 'severity': 'Mild', 'type': 'General'}]}"
true,COVID-19,Viral,"{'affected_age_groups': ['Children', 'Adults', 'Elderly'], 'complications': ['Acute respiratory distress', 'Blood clots', 'Organ failure'], 'curative_drugs': [13, 14, 15], 'risk_factors': ['Age (elderly)', 'Obesity', 'Chronic diseases'], 'symptoms': [{'description': 'Fever', 'duration': '10 days', 'name': 'Fever', 'severity': 'High', 'type': 'General'}, {'description': 'Shortness of breath', 'duration': '7 days', 'name': 'Shortness of Breath', 'severity': 'Severe', 'type': 'Respiratory'}]}"
false,Hypertension,Chronic,"{'affected_age_groups': ['Adults', 'Elderly'], 'complications': ['Heart attack', 'Stroke', 'Kidney disease'], 'curative_drugs': [16, 17, 18], 'risk_factors': ['High salt intake', 'Obesity', 'Sedentary lifestyle'], 'symptoms': [{'description': 'Headache', 'duration': 'Variable', 'name': 'Headache', 'severity': 'Mild', 'type': 'Neurological'}, {'description': 'Dizziness', 'duration': 'Variable', 'name': 'Dizziness', 'severity': 'Moderate', 'type': 'Neurological'}]}"
true,Strep Throat,Bacterial,"{'affected_age_groups': ['Children', 'Adults'], 'complications': ['Rheumatic fever', 'Kidney inflammation'], 'curative_drugs': [19, 20, 21], 'risk_factors': ['Close contact', 'Weakened immune system', 'Age (children)'], 'symptoms': [{'description': 'Sore throat', 'duration': '1 week', 'name': 'Sore Throat', 'severity': 'Moderate', 'type': 'Throat'}, {'description': 'Swollen lymph nodes', 'duration': '1 week', 'name': 'Swollen Lymph Nodes', 'severity': 'Mild', 'type': 'Lymphatic'}]}"
true,Ebola Virus Disease,Viral,"{'affected_age_groups': ['Adults', 'Elderly'], 'complications': ['Hemorrhagic fever', 'Multi-organ failure', 'Shock'], 'curative_drugs': [22, 23, 24], 'risk_factors': ['Direct contact with infected fluids', 'Poor sanitation', 'Healthcare exposure'], 'symptoms': [{'description': 'Fever', 'duration': '2 weeks', 'name': 'Fever', 'severity': 'High', 'type': 'General'}, {'description': 'Vomiting', 'duration': '1 week', 'name': 'Vomiting', 'severity': 'Severe', 'type': 'Gastrointestinal'}]}"
false,Osteoporosis,Chronic,"{'affected_age_groups': ['Elderly', 'Postmenopausal women'], 'complications': ['Bone fractures', 'Chronic pain', 'Reduced mobility'], 'curative_drugs': [25, 26, 27], 'risk_factors': ['Age', 'Gender (female)', 'Low calcium intake'], 'symptoms': [{'description': 'Back pain', 'duration': 'Chronic', 'name': 'Back Pain', 'severity': 'Mild', 'type': 'Musculoskeletal'}, {'description': 'Fragile bones', 'duration': 'Chronic', 'name': 'Fragile Bones', 'severity': 'Severe', 'type': 'Skeletal'}]}"
true,Malaria,Parasitic,"{'affected_age_groups': ['Children', 'Adults', 'Pregnant women'], 'complications': ['Severe anemia', 'Cerebral malaria', 'Organ failure'], 'curative_drugs': [28, 29, 30], 'risk_factors': ['Travel to endemic areas', 'Mosquito exposure', 'Lack of prophylaxis'], 'symptoms': [{'description': 'Fever', 'duration': '2 weeks', 'name': 'Fever', 'severity': 'High', 'type': 'General'}, {'description': 'Chills', 'duration': '2 weeks', 'name': 'Chills', 'severity': 'Moderate', 'type': 'General'}]}"
false,Asthma,Chronic,"{'affected_age_groups': ['Children', 'Adults'], 'complications': ['Respiratory infections', 'Permanent airway remodeling', 'Reduced lung function'], 'curative_drugs': [31, 32, 33], 'risk_factors': ['Allergens', 'Air pollution', 'Genetics'], 'symptoms': [{'description': 'Wheezing', 'duration': 'Variable', 'name': 'Wheezing', 'severity': 'Moderate', 'type': 'Respiratory'}, {'description': 'Shortness of breath', 'duration': 'Variable', 'name': 'Shortness of Breath', 'severity': 'Severe', 'type': 'Respiratory'}]}"
true,Hepatitis B,Viral,"{'affected_age_groups': ['Adults', 'Children'], 'complications': ['Liver cirrhosis', 'Liver cancer', 'Acute liver failure'], 'curative_drugs': [34, 35, 36], 'risk_factors': ['Unprotected sex', 'Sharing needles', 'Mother to child transmission'], 'symptoms': [{'description': 'Jaundice', 'duration': '6 months', 'name': 'Jaundice', 'severity': 'Moderate', 'type': 'General'}, {'description': 'Fatigue', 'duration': '6 months', 'name': 'Fatigue', 'severity': 'Mild', 'type': 'General'}]}"
true,Legionnaires' Disease,Bacterial,"{'affected_age_groups': ['Adults', 'Elderly'], 'complications': ['Respiratory failure', 'Septic shock', 'Acute kidney injury'], 'curative_drugs': [37, 38, 39], 'risk_factors': ['Contaminated water sources', 'Smoking', 'Chronic lung disease'], 'symptoms': [{'description': 'Cough', 'duration': '2 weeks', 'name': 'Cough', 'severity': 'Severe', 'type': 'Respiratory'}, {'description': 'Muscle aches', 'duration': '1 week', 'name': 'Muscle Aches', 'severity': 'Moderate', 'type': 'Musculoskeletal'}]}"
false,Depression,Mental,"{'affected_age_groups': ['Adults', 'Elderly'], 'complications': ['Substance abuse', 'Chronic health issues', 'Suicide'], 'curative_drugs': [40, 41, 42], 'risk_factors': ['Genetics', 'Trauma', 'Chronic stress'], 'symptoms': [{'description': 'Persistent sadness', 'duration': '2 weeks', 'name': 'Persistent Sadness', 'severity': 'High', 'type': 'Emotional'}, {'description': 'Loss of interest', 'duration': '2 weeks', 'name': 'Loss of Interest', 'severity': 'Moderate', 'type': 'Emotional'}]}"
true,Measles,Viral,"{'affected_age_groups': ['Children', 'Adults'], 'complications': ['Encephalitis', 'Pneumonia', 'Blindness'], 'curative_drugs': [43, 44, 45], 'risk_factors': ['Unvaccinated status', 'Close contact', 'Weakened immune system'], 'symptoms': [{'description': 'Fever', 'duration': '1 week', 'name': 'Fever', 'severity': 'High', 'type': 'General'}, {'description': 'Rash', 'duration': '1 week', 'name': 'Rash', 'severity': 'Moderate', 'type': 'Dermatological'}]}"
false,Arthritis,Chronic,"{'affected_age_groups': ['Adults', 'Elderly'], 'complications': ['Joint damage', 'Reduced mobility', 'Chronic pain'], 'curative_drugs': [46, 47, 48], 'risk_factors': ['Age', 'Genetics', 'Previous joint injury'], 'symptoms': [{'description': 'Joint pain', 'duration': 'Chronic', 'name': 'Joint Pain', 'severity': 'Moderate', 'type': 'Musculoskeletal'}, {'description': 'Stiffness', 'duration': 'Morning', 'name': 'Stiffness', 'severity': 'Mild', 'type': 'Musculoskeletal'}]}"
true,Cholera,Bacterial,"{'affected_age_groups': ['Adults', 'Children'], 'complications': ['Severe dehydration', 'Electrolyte imbalance', 'Shock'], 'curative_drugs': [49, 50, 51], 'risk_factors': ['Contaminated water', 'Poor sanitation', 'Floods'], 'symptoms': [{'description': 'Diarrhea', 'duration': '3 days', 'name': 'Diarrhea', 'severity': 'High', 'type': 'Gastrointestinal'}, {'description': 'Vomiting', 'duration': '3 days', 'name': 'Vomiting', 'severity': 'Severe', 'type': 'Gastrointestinal'}]}"
true,Varicella (Chickenpox),Viral,"{'affected_age_groups': ['Children', 'Adults'], 'complications': ['Bacterial infections of the skin', 'Pneumonia', 'Encephalitis'], 'curative_drugs': [52, 53, 54], 'risk_factors': ['Unvaccinated status', 'Exposure to infected individuals', 'Weakened immune system'], 'symptoms': [{'description': 'Itchy rash', 'duration': '1 week', 'name': 'Itchy Rash', 'severity': 'Moderate', 'type': 'Dermatological'}, {'description': 'Fever', 'duration': '1 week', 'name': 'Fever', 'severity': 'Mild', 'type': 'General'}]}"
false,Chronic Kidney Disease,Chronic,"{'affected_age_groups': ['Adults', 'Elderly'], 'complications': ['End-stage renal disease', 'Cardiovascular disease', 'Anemia'], 'curative_drugs': [55, 56, 57], 'risk_factors': ['Diabetes', 'Hypertension', 'Glomerulonephritis'], 'symptoms': [{'description': 'Fatigue', 'duration': 'Chronic', 'name': 'Fatigue', 'severity': 'Moderate', 'type': 'General'}, {'description': 'Swelling', 'duration': 'Chronic', 'name': 'Swelling', 'severity': 'Mild', 'type': 'Musculoskeletal'}]}"
true,Plague,Bacterial,"{'affected_age_groups': ['Adults', 'Children'], 'complications': ['Pneumonic plague', 'Septicemic plague', 'Bubonic plague'], 'curative_drugs': [58, 59, 60], 'risk_factors': ['Flea bites', 'Contact with infected animals', 'Poor sanitation'], 'symptoms': [{'description': 'Fever', 'duration': '1 week', 'name': 'Fever', 'severity': 'High', 'type': 'General'}, {'description': 'Swollen lymph nodes', 'duration': '1 week', 'name': 'Swollen Lymph Nodes', 'severity': 'Moderate', 'type': 'Lymphatic'}]}"
true,Hepatitis C,Viral,"{'affected_age_groups': ['Adults', 'Elderly'], 'complications': ['Liver cirrhosis', 'Liver cancer', 'Liver failure'], 'curative_drugs': [61, 62, 63], 'risk_factors': ['Sharing needles', 'Unprotected sex', 'Blood transfusions'], 'symptoms': [{'description': 'Jaundice', 'duration': '6 months', 'name': 'Jaundice', 'severity': 'Moderate', 'type': 'General'}, {'description': 'Fatigue', 'duration': '6 months', 'name': 'Fatigue', 'severity': 'Mild', 'type': 'General'}]}"
true,Hantavirus Pulmonary Syndrome,Viral,"{'affected_age_groups': ['Adults'], 'complications': ['Respiratory failure', 'Shock', 'Acute kidney injury'], 'curative_drugs': [64, 65, 66], 'risk_factors': ['Contact with rodent droppings', 'Outdoor activities', 'Poor housing conditions'], 'symptoms': [{'description': 'Fever', 'duration': '2 weeks', 'name': 'Fever', 'severity': 'High', 'type': 'General'}, {'description': 'Muscle aches', 'duration': '1 week', 'name': 'Muscle Aches', 'severity': 'Moderate', 'type': 'Musculoskeletal'}]}"
true,Mumps,Viral,"{'affected_age_groups': ['Children', 'Adults'], 'complications': ['Orchitis', 'Meningitis', 'Encephalitis'], 'curative_drugs': [67, 68, 69], 'risk_factors': ['Unvaccinated status', 'Close contact', 'Weakened immune system'], 'symptoms': [{'description': 'Swollen salivary glands', 'duration': '1 week', 'name': 'Swollen Salivary Glands', 'severity': 'Moderate', 'type': 'Musculoskeletal'}, {'description': 'Fever', 'duration': '1 week', 'name': 'Fever', 'severity': 'High', 'type': 'General'}]}"
true,Dengue Fever,Viral,"{'affected_age_groups': ['Children', 'Adults'], 'complications': ['Hemorrhagic fever', 'Organ impairment', 'Shock'], 'curative_drugs': [70, 71, 72], 'risk_factors': ['Mosquito exposure', 'Travel to endemic areas', 'Poor sanitation'], 'symptoms': [{'description': 'High fever', 'duration': '1 week', 'name': 'High Fever', 'severity': 'High', 'type': 'General'}, {'description': 'Severe headache', 'duration': '1 week', 'name': 'Severe Headache', 'severity': 'Moderate', 'type': 'Neurological'}]}"
